"Analysis Type","NCBI BioProject ID (Strain 1)","Strain 1","GI (Strain 1)","Locus Tag (Strain 1)","NCBI RefSeq Accession (Strain 1)","Description (Strain 1)","NCBI BioProject ID (Strain 2)","Strain 2","GI (Strain 2)","Locus Tag (Strain 2)","NCBI RefSeq Accession (Strain 2)","Description (Strain 2)","Inparalogs","Strain 1 Inparalogs (Locus Tag/Name)","Strain 2 Inparalogs (Locus Tag/Name)","Ortholuge Class"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131302","b3428","NP_417886.1","glycogen phosphorylase","57945","Pseudomonas aeruginosa PAO1","15597340","PA2144","NP_250834.1","glycogen phosphorylase","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128087","b0094","NP_414636.1","ATP-binding cell division protein involved in recruitment of FtsK to Z ring","57945","Pseudomonas aeruginosa PAO1","15599604","PA4408","NP_253098.1","cell division protein FtsA","","","","Non-SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130928","b3032","NP_417504.1","3',5' cAMP phosphodiesterase","57945","Pseudomonas aeruginosa PAO1","15600162","PA4969","NP_253656.1","cAMP phosphodiesterase","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131439","b3568","NP_418025.1","D-xylose ABC transporter permease subunit","57945","Pseudomonas aeruginosa PAO1","15597144","PA1948","NP_250638.1","membrane protein component of ABC ribose transporter","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131618","b3750","NP_418206.1","D-ribose transporter subunit","57945","Pseudomonas aeruginosa PAO1","15597144","PA1948","NP_250638.1","membrane protein component of ABC ribose transporter","5","b3568[D-xylose ABC transporter permease subunit];b2546[predicted sugar transporter subunit: membrane component of ABC superfamily];b4086[D-allose transporter subunit];b4231[predicted sugar transporter subunit: membrane component of ABC superfamily];b4460[fused L-arabinose transporter subunits of ABC superfamily: membrane components]","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130471","b2546","NP_417041.1","predicted sugar transporter subunit: membrane component of ABC superfamily","57945","Pseudomonas aeruginosa PAO1","15597144","PA1948","NP_250638.1","membrane protein component of ABC ribose transporter","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131912","b4086","NP_418510.1","D-allose transporter subunit","57945","Pseudomonas aeruginosa PAO1","15597144","PA1948","NP_250638.1","membrane protein component of ABC ribose transporter","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","90111710","b4231","NP_418652.2","predicted sugar transporter subunit: membrane component of ABC superfamily","57945","Pseudomonas aeruginosa PAO1","15597144","PA1948","NP_250638.1","membrane protein component of ABC ribose transporter","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","145698280","b4460","YP_026162.2","fused L-arabinose transporter subunits of ABC superfamily: membrane components","57945","Pseudomonas aeruginosa PAO1","15597144","PA1948","NP_250638.1","membrane protein component of ABC ribose transporter","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128584","b0601","NP_415134.1","conserved protein","57945","Pseudomonas aeruginosa PAO1","15597322","PA2126","NP_250816.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130015","b2075","NP_416579.1","multidrug efflux system, subunit B","57945","Pseudomonas aeruginosa PAO1","15597723","PA2527","NP_251217.1","Resistance-Nodulation-cell Division (RND) efflux transporter","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128642","b0659","NP_415192.1","metal-binding heat shock protein required for rRNA maturation","57945","Pseudomonas aeruginosa PAO1","15599177","PA3982","NP_252671.1","metalloprotease","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130247","b2312","NP_416815.1","amidophosphoribosyltransferase","57945","Pseudomonas aeruginosa PAO1","15598304","PA3108","NP_251798.1","amidophosphoribosyltransferase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129149","b1186","NP_415704.1","sodium:proton antiporter","57945","Pseudomonas aeruginosa PAO1","15597017","PA1820","NP_250511.1","sodium/proton antiporter","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130078","b2140","NP_416645.1","tRNA-dihydrouridine synthase C","57945","Pseudomonas aeruginosa PAO1","15598325","PA3129","NP_251819.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","90111320","b1742","NP_416256.2","conserved protein","57945","Pseudomonas aeruginosa PAO1","15600297","PA5104","NP_253791.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128425","b0440","NP_414974.1","HU, DNA-binding transcriptional regulator, beta subunit","57945","Pseudomonas aeruginosa PAO1","15597001","PA1804","NP_250495.1","DNA-binding protein HU","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130755","b2851","NP_417328.1","predicted chaperone","57945","Pseudomonas aeruginosa PAO1","15596904","PA1707","NP_250398.1","regulatory protein PcrH","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","49176330","b4472","YP_026208.1","conserved membrane protein, predicted transporter","57945","Pseudomonas aeruginosa PAO1","15599672","PA4476","NP_253166.1","hypothetical protein","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130723","b2819","NP_417296.1","exonuclease V (RecBCD complex), alpha chain","57945","Pseudomonas aeruginosa PAO1","15599479","PA4283","NP_252973.1","exodeoxyribonuclease V subunit alpha","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131307","b3433","NP_417891.1","aspartate-semialdehyde dehydrogenase, NAD(P)-binding","57945","Pseudomonas aeruginosa PAO1","15598313","PA3117","NP_251807.1","aspartate-semialdehyde dehydrogenase","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130279","b2346","NP_416848.1","ABC transporter maintaining OM lipid asymmetry, OM lipoprotein component","57945","Pseudomonas aeruginosa PAO1","15598435","PA3239","NP_251929.1","hypothetical protein","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130279","b2346","NP_416848.1","ABC transporter maintaining OM lipid asymmetry, OM lipoprotein component","57945","Pseudomonas aeruginosa PAO1","15597996","PA2800","NP_251490.1","hypothetical protein","1","","PA3239[hypothetical protein]","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130692","b2785","NP_417265.1","23S rRNA m(5)U1939 methyltransferase, SAM-dependent","57945","Pseudomonas aeruginosa PAO1","15596130","PA0933","NP_249624.1","23S rRNA 5-methyluridine methyltransferase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128167","b0174","NP_414716.1","undecaprenyl pyrophosphate synthase","57945","Pseudomonas aeruginosa PAO1","15598848","PA3652","NP_252342.1","undecaprenyl pyrophosphate synthetase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131096","b3206","NP_417673.1","phosphohistidinoprotein-hexose phosphotransferase component of N-regulated PTS system (Npr)","57945","Pseudomonas aeruginosa PAO1","15599662","PA4466","NP_253156.1","phosphoryl carrier protein","","","","Non-SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16132003","b4181","NP_418602.1","conserved protein, DUF2170 family","57945","Pseudomonas aeruginosa PAO1","15598927","PA3732","NP_252421.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131967","b4142","NP_418566.1","Cpn10 chaperonin GroES, small subunit of GroESL","57945","Pseudomonas aeruginosa PAO1","15599582","PA4386","NP_253076.1","co-chaperonin GroES","","","","Borderline-SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128794","b0826","NP_415347.1","molybdopterin synthase sulfurylase","57945","Pseudomonas aeruginosa PAO1","15599858","PA4663","NP_253352.1","molybdopterin biosynthesis protein MoeB","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131296","b3422","NP_417880.1","sigma 54-dependent transcriptional regulator of rtcBA expression","57945","Pseudomonas aeruginosa PAO1","15599777","PA4581","NP_253271.1","transcriptional regulator RtcR","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131094","b3204","NP_417671.1","sugar-specific enzyme IIA component of PTS","57945","Pseudomonas aeruginosa PAO1","15599660","PA4464","NP_253154.1","nitrogen regulatory IIA protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","49176171","b1931","YP_025310.1","predicted protein","57945","Pseudomonas aeruginosa PAO1","15599830","PA4634","NP_253324.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129478","b1519","NP_416036.1","trans-aconitate methyltransferase","57945","Pseudomonas aeruginosa PAO1","15597760","PA2564","NP_251254.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16132206","b4389","NP_418806.1","DNA repair protein","57945","Pseudomonas aeruginosa PAO1","15599805","PA4609","NP_253299.1","DNA repair protein RadA","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131239","b3360","NP_417819.1","aminodeoxychorismate synthase, subunit II","57945","Pseudomonas aeruginosa PAO1","15595846","PA0649","NP_249340.1","anthranilate synthase component II","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128644","b0661","NP_415194.1","tRNA-i(6)A37 methylthiotransferase","57945","Pseudomonas aeruginosa PAO1","15599175","PA3980","NP_252669.1","(dimethylallyl)adenosine tRNA methylthiotransferase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131664","b3812","NP_418257.1","FMN phosphatase","57945","Pseudomonas aeruginosa PAO1","15600474","PA5281","NP_253968.1","hydrolase","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129097","b1134","NP_415652.1","bifunctional thiamin pyrimidine pyrophosphate hydrolase/ thiamin pyrophosphate hydrolase","57945","Pseudomonas aeruginosa PAO1","15597821","PA2625","NP_251315.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130132","b2195","NP_416699.1","periplasmic thioredoxin of cytochrome c-type biogenesis","57945","Pseudomonas aeruginosa PAO1","15596678","PA1481","NP_250172.1","cytochrome C biogenesis protein CcmG","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130092","b2154","NP_416659.1","S-formylglutathione hydrolase","57945","Pseudomonas aeruginosa PAO1","15598824","PA3628","NP_252318.1","esterase","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128391","b0406","NP_414940.1","tRNA-guanine transglycosylase","57945","Pseudomonas aeruginosa PAO1","15599018","PA3823","NP_252512.1","queuine tRNA-ribosyltransferase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130487","b2562","NP_417057.1","predicted 4Fe-4S cluster-containing protein","57945","Pseudomonas aeruginosa PAO1","15595559","PA0362","NP_249053.1","ferredoxin (4Fe-4S)","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","90111698","b4179","NP_418600.4","exoribonuclease R, RNase R","57945","Pseudomonas aeruginosa PAO1","15600130","PA4937","NP_253624.1","exoribonuclease RNase R","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128297","b0312","NP_414846.1","betaine aldehyde dehydrogenase, NAD-dependent","57945","Pseudomonas aeruginosa PAO1","15600566","PA5373","NP_254060.1","betaine aldehyde dehydrogenase","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","226524738","b2534","NP_417029.4","S9 peptidase family protein, function unknown","57945","Pseudomonas aeruginosa PAO1","15598891","PA3695","NP_252385.1","hypothetical protein","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","90111382","b2080","NP_416584.4","conserved protein, UPF0339 family","57945","Pseudomonas aeruginosa PAO1","15595526","PA0329","NP_249020.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128174","b0181","NP_414723.1","UDP-N-acetylglucosamine acetyltransferase","57945","Pseudomonas aeruginosa PAO1","15598840","PA3644","NP_252334.1","UDP-N-acetylglucosamine acyltransferase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128071","b0078","NP_414620.1","acetolactate synthase III, thiamin-dependent, small subunit","57945","Pseudomonas aeruginosa PAO1","15599889","PA4695","NP_253383.1","acetolactate synthase 3 regulatory subunit","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130655","b2748","NP_417228.1","cell division protein","57945","Pseudomonas aeruginosa PAO1","15598830","PA3634","NP_252324.1","hypothetical protein","","","","Borderline-SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131548","b3678","NP_418134.1","predicted sulfatase/phosphatase","57945","Pseudomonas aeruginosa PAO1","15597529","PA2333","NP_251023.1","sulfatase","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131548","b3678","NP_418134.1","predicted sulfatase/phosphatase","57945","Pseudomonas aeruginosa PAO1","15595229","PA0031","NP_248721.1","choline sulfatase","1","","PA2333[sulfatase]",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130180","b2245","NP_416748.1","2-keto-3-deoxy-L-rhamnonate aldolase","57945","Pseudomonas aeruginosa PAO1","15599323","PA4128","NP_252817.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129554","b1596","NP_416113.1","predicted transporter","57945","Pseudomonas aeruginosa PAO1","15600223","PA5030","NP_253717.1","major facilitator superfamily (MFS) transporter","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","90111451","b2521","NP_417016.4","3-mercaptopyruvate sulfurtransferase","57945","Pseudomonas aeruginosa PAO1","15596489","PA1292","NP_249983.1","3-mercaptopyruvate sulfurtransferase","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131090","b3200","NP_417667.1","periplasmic LPS-binding protein","57945","Pseudomonas aeruginosa PAO1","15599656","PA4460","NP_253150.1","hypothetical protein","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129460","b1501","NP_416018.1","predicted oxidoreductase","57945","Pseudomonas aeruginosa PAO1","15600374","PA5181","NP_253868.1","oxidoreductase","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131082","b3192","NP_417659.1","ABC transporter maintaining OM lipid asymmetry, periplasmic binding protein","57945","Pseudomonas aeruginosa PAO1","15599649","PA4453","NP_253143.1","hypothetical protein","","","","Borderline-SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131823","b3993","NP_418421.1","thiamin phosphate synthase (thiamin phosphate pyrophosphorylase)","57945","Pseudomonas aeruginosa PAO1","15599171","PA3976","NP_252665.1","thiamine-phosphate pyrophosphorylase","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128851","b0884","NP_415404.1","translation initiation factor IF-1","57945","Pseudomonas aeruginosa PAO1","15597815","PA2619","NP_251309.1","translation initiation factor IF-1","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128079","b0086","NP_414628.1","UDP-N-acetylmuramoyl-tripeptide:D-alanyl-D- alanine ligase","57945","Pseudomonas aeruginosa PAO1","15599612","PA4416","NP_253106.1","UDP-N-acetylmuramoylalanyl-D-glutamyl-2, 6-diaminopimelate--D-alanyl-D-alanyl ligase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129644","b1688","NP_416203.1","inner membrane protein, UPF0118 family","57945","Pseudomonas aeruginosa PAO1","15596822","PA1625","NP_250316.1","hypothetical protein","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131931","b4105","NP_418529.1","phosphonate/organophosphate ester transporter subunit","57945","Pseudomonas aeruginosa PAO1","15598579","PA3383","NP_252073.1","binding protein component of ABC phosphonate transporter","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131703","b3862","NP_418299.1","inner membrane protein, Predicted acyltransferas","57945","Pseudomonas aeruginosa PAO1","15596031","PA0834","NP_249525.1","acyltransferase","1","","PA0461[acyltransferase]","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131703","b3862","NP_418299.1","inner membrane protein, Predicted acyltransferas","57945","Pseudomonas aeruginosa PAO1","15595658","PA0461","NP_249152.1","acyltransferase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131120","b3230","NP_417697.1","30S ribosomal subunit protein S9","57945","Pseudomonas aeruginosa PAO1","15599628","PA4432","NP_253122.1","30S ribosomal protein S9","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131804","b3966","NP_418401.1","vitamin B12/cobalamin outer membrane transporter","57945","Pseudomonas aeruginosa PAO1","15596468","PA1271","NP_249962.1","tonB-dependent receptor","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16132110","b4289","NP_418709.1","KpLE2 phage-like element; iron-dicitrate transporter subunit","57945","Pseudomonas aeruginosa PAO1","15598110","PA2914","NP_251604.1","ABC transporter permease","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131130","b3240","NP_417707.1","p-hydroxybenzoic acid efflux system component","57945","Pseudomonas aeruginosa PAO1","15597627","PA2431","NP_251121.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131130","b3240","NP_417707.1","p-hydroxybenzoic acid efflux system component","57945","Pseudomonas aeruginosa PAO1","15598501","PA3305","NP_251995.1","hypothetical protein","3","","PA2431[hypothetical protein];PA0875[hypothetical protein];PA1270[hypothetical protein]",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131130","b3240","NP_417707.1","p-hydroxybenzoic acid efflux system component","57945","Pseudomonas aeruginosa PAO1","15596072","PA0875","NP_249566.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131130","b3240","NP_417707.1","p-hydroxybenzoic acid efflux system component","57945","Pseudomonas aeruginosa PAO1","15596467","PA1270","NP_249961.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131595","b3727","NP_418183.1","phosphate transporter subunit","57945","Pseudomonas aeruginosa PAO1","15600561","PA5368","NP_254055.1","membrane protein component of ABC phosphate transporter","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","90111538","b3097","NP_417568.2","conserved protein","57945","Pseudomonas aeruginosa PAO1","15595739","PA0542","NP_249233.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131220","b3341","NP_417800.1","30S ribosomal subunit protein S7","57945","Pseudomonas aeruginosa PAO1","15599463","PA4267","NP_252957.1","30S ribosomal protein S7","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130531","b2610","NP_417101.1","Signal Recognition Particle (SRP) component with 4.5S RNA (ffs)","57945","Pseudomonas aeruginosa PAO1","15598941","PA3746","NP_252435.1","signal recognition particle protein Ffh","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131461","b3590","NP_418047.1","selenocysteinyl-tRNA-specific translation factor","57945","Pseudomonas aeruginosa PAO1","15600001","PA4807","NP_253495.1","selenocysteine-specific elongation factor","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129171","b1208","NP_415726.1","4-diphosphocytidyl-2-C-methylerythritol kinase","57945","Pseudomonas aeruginosa PAO1","15599864","PA4669","NP_253358.1","4-diphosphocytidyl-2-C-methyl-D-erythritol kinase","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","90111095","b0175","NP_414717.2","CDP-diglyceride synthase","57945","Pseudomonas aeruginosa PAO1","15598847","PA3651","NP_252341.1","phosphatidate cytidylyltransferase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131483","b3612","NP_418069.1","phosphoglycero mutase III, cofactor-independent","57945","Pseudomonas aeruginosa PAO1","15600324","PA5131","NP_253818.1","phosphoglyceromutase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131288","b3412","NP_417871.1","pimeloyl-ACP carboxylesterase","57945","Pseudomonas aeruginosa PAO1","15595699","PA0502","NP_249193.1","biotin biosynthesis protein bioH","","","","Borderline-SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","49176363","b3486","YP_026225.1","fused ribosome-associated ATPase: ATP-binding protein/ATP-binding protein/predicted membrane protein","57945","Pseudomonas aeruginosa PAO1","15600424","PA5231","NP_253918.1","ATP-binding/permease fusion ABC transporter","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129758","b1804","NP_416318.1","ribonuclease D","57945","Pseudomonas aeruginosa PAO1","15596491","PA1294","NP_249985.1","ribonuclease D","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131092","b3202","NP_417669.1","RNA polymerase, sigma 54 (sigma N) factor","57945","Pseudomonas aeruginosa PAO1","15599658","PA4462","NP_253152.1","RNA polymerase factor sigma-54","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","226524709","b1234","NP_415750.2","conserved protein, patatin-like family","57945","Pseudomonas aeruginosa PAO1","15596837","PA1640","NP_250331.1","hypothetical protein","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130843","b2942","NP_417417.1","S-adenosylmethionine synthetase","57945","Pseudomonas aeruginosa PAO1","15595743","PA0546","NP_249237.1","S-adenosylmethionine synthetase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129227","b1266","NP_415782.1","conserved protein","57945","Pseudomonas aeruginosa PAO1","15598396","PA3200","NP_251890.1","hypothetical protein","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131342","b3470","NP_417927.1","sulfurtransferase required 2-thiolation step of mnm(5)-s(2)U34-tRNA synthesis","57945","Pseudomonas aeruginosa PAO1","15596761","PA1564","NP_250255.1","sulfur transfer protein SirA","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131219","b3340","NP_417799.1","protein chain elongation factor EF-G, GTP-binding","57945","Pseudomonas aeruginosa PAO1","15597267","PA2071","NP_250761.1","elongation factor G","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131219","b3340","NP_417799.1","protein chain elongation factor EF-G, GTP-binding","57945","Pseudomonas aeruginosa PAO1","15599462","PA4266","NP_252956.1","elongation factor G","1","","PA2071[elongation factor G]",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129236","b1275","NP_415791.1","DNA-binding transcriptional dual regulator, O-acetyl-L-serine-binding","57945","Pseudomonas aeruginosa PAO1","15596951","PA1754","NP_250445.1","transcriptional regulator CysB","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131825","b3995","NP_418423.1","stationary phase protein, binds sigma 70 RNA polymerase subunit","57945","Pseudomonas aeruginosa PAO1","15600448","PA5255","NP_253942.1","anti-RNA polymerase sigma 70 factor","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131926","b4100","NP_418524.1","carbon-phosphorus lyase complex subunit","57945","Pseudomonas aeruginosa PAO1","15598575","PA3379","NP_252069.1","carbon-phosphorus lyase complex subunit","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","49176140","b1732","YP_025308.1","hydroperoxidase HPII(III) (catalase)","57945","Pseudomonas aeruginosa PAO1","15597343","PA2147","NP_250837.1","hydroperoxidase II","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128172","b0179","NP_414721.1","UDP-3-O-(3-hydroxymyristoyl)-glucosamine N-acyltransferase","57945","Pseudomonas aeruginosa PAO1","15598842","PA3646","NP_252336.1","UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130216","b2281","NP_416784.1","NADH:ubiquinone oxidoreductase, chain I","57945","Pseudomonas aeruginosa PAO1","15597840","PA2644","NP_251334.1","NADH dehydrogenase subunit I","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","90111363","b1974","NP_416483.4","cytochrome b561 homolog","57945","Pseudomonas aeruginosa PAO1","15596115","PA0918","NP_249609.1","cytochrome b561","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130347","b2421","NP_416916.1","cysteine synthase B (O-acetylserine sulfhydrolase B)","57945","Pseudomonas aeruginosa PAO1","15596129","PA0932","NP_249623.1","cysteine synthase B","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128712","b0737","NP_415265.1","membrane spanning protein in TolA-TolQ-TolR complex","57945","Pseudomonas aeruginosa PAO1","15596166","PA0969","NP_249660.1","TolQ protein","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130349","b2424","NP_416919.1","sulfate/thiosulfate transporter subunit","57945","Pseudomonas aeruginosa PAO1","15595479","PA0282","NP_248973.1","sulfate transporter CysT","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16132205","b4388","NP_418805.1","3-phosphoserine phosphatase","57945","Pseudomonas aeruginosa PAO1","15600153","PA4960","NP_253647.1","phosphoserine phosphatase","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131482","b3611","NP_418068.1","predicted rhodanese-related sulfurtransferase","57945","Pseudomonas aeruginosa PAO1","15600323","PA5130","NP_253817.1","hypothetical protein","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129735","b1781","NP_416295.1","aldo-keto reductase, methylglyoxal to acetol, NADPH-dependent","57945","Pseudomonas aeruginosa PAO1","15596001","PA0804","NP_249495.1","oxidoreductase","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130650","b2743","NP_417223.1","L-isoaspartate protein carboxylmethyltransferase type II","57945","Pseudomonas aeruginosa PAO1","15598820","PA3624","NP_252314.1","protein-L-isoaspartate O-methyltransferase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128462","b0478","NP_415011.1","predicted transporter with NAD(P)-binding Rossmann-fold domain","57945","Pseudomonas aeruginosa PAO1","15600711","PA5518","NP_254205.1","potassium efflux transporter","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","90111418","b2324","NP_416827.4","fused 5-methylaminomethyl-2-thiouridine-forming enzyme methyltransferase/FAD-dependent demodification enzyme","57945","Pseudomonas aeruginosa PAO1","15598652","PA3456","NP_252146.1","5-methylaminomethyl-2-thiouridine methyltransferase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131290","b3414","NP_417873.1","Fe/S biogenesis protein; possible scaffold/chaperone for damaged Fe/S proteins","57945","Pseudomonas aeruginosa PAO1","15597044","PA1847","NP_250538.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","90111217","b1128","NP_415646.4","conserved protein","57945","Pseudomonas aeruginosa PAO1","15597826","PA2630","NP_251320.1","hypothetical protein","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131167","b3288","NP_417746.1","10-formyltetrahydrofolate:L-methionyl-tRNA(fMet) N-formyltransferase","57945","Pseudomonas aeruginosa PAO1","15595216","PA0018","NP_248708.1","methionyl-tRNA formyltransferase","","","","SSD"
