"Strain","Locus Tag","Accession","Product","Number of Amino Acids","Subcellular Localization","Confidence","Localization Group (Primary/Secondary)"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3445","NP_252135.1","conserved hypothetical protein","324","Unknown (This protein may have multiple localization sites)","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3445","NP_252135.1","conserved hypothetical protein","324","Unknown (This protein may have multiple localization sites)","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3446","NP_252136.1","conserved hypothetical protein","198","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3447","NP_252137.1","probable ATP-binding component of ABC transporter","250","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3448","NP_252138.1","probable permease of ABC transporter","275","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3449","NP_252139.1","conserved hypothetical protein","334","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3450","NP_252140.1","1-Cys peroxiredoxin LsfA","213","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3451","NP_252141.1","hypothetical protein","70","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3452","NP_252142.1","malate:quinone oxidoreductase","524","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3452","NP_252142.1","malate:quinone oxidoreductase","524","Outer Membrane Vesicle","Class 1","Secondary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3453","NP_252143.1","conserved hypothetical protein","222","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3454","NP_252144.1","probable acyl-CoA thiolase","395","Cytoplasmic","Class 2","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3454","NP_252144.1","probable acyl-CoA thiolase","395","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3455","NP_252145.1","conserved hypothetical protein","497","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3456","NP_252146.1","hypothetical protein","655","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3457","NP_252147.1","hypothetical protein","251","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3458","NP_252148.1","probable transcriptional regulator","158","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3459","NP_252149.1","probable glutamine amidotransferase","590","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3460","NP_252150.1","probable acetyltransferase","586","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3461","NP_252151.1","conserved hypothetical protein","399","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3462","NP_252152.1","probable sensor/response regulator hybrid","920","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3463","NP_252153.1","conserved hypothetical protein","77","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3464","NP_252154.1","hypothetical protein","442","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3465","NP_252155.1","conserved hypothetical protein","572","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3466","NP_252156.1","probable ATP-dependent RNA helicase","447","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3467","NP_252157.1","probable major facilitator superfamily (MFS) transporter","456","Cytoplasmic Membrane","Class 2","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3467","NP_252157.1","probable major facilitator superfamily (MFS) transporter","456","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3468","NP_252158.1","conserved hypothetical protein","443","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3469","NP_252159.1","conserved hypothetical protein","181","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3470","NP_252160.1","hypothetical protein","153","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3471","NP_252161.1","probable malic enzyme","565","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3472","NP_252162.1","hypothetical protein","199","Unknown (This protein may have multiple localization sites)","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3472","NP_252162.1","hypothetical protein","199","Unknown (This protein may have multiple localization sites)","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3473","NP_252163.1","hypothetical protein","300","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3474","NP_252164.1","conserved hypothetical protein","287","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3475","NP_252165.1","cyclohexadienyl dehydratase precursor","269","Periplasmic","Class 1","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3475","NP_252165.1","cyclohexadienyl dehydratase precursor","269","Periplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3476","NP_252166.1","autoinducer synthesis protein RhlI","202","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3477","NP_252167.1","transcriptional regulator RhlR","242","Cytoplasmic","Class 1","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3477","NP_252167.1","transcriptional regulator RhlR","242","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3478","NP_252168.1","rhamnosyltransferase chain B","427","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3479","NP_252169.1","rhamnosyltransferase chain A","296","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3480","NP_252170.1","probable deoxycytidine triphosphate deaminase","189","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3481","NP_252171.1","conserved hypothetical protein","365","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3482","NP_252172.1","methionyl-tRNA synthetase","678","Cytoplasmic","Class 2","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3482","NP_252172.1","methionyl-tRNA synthetase","678","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3483","NP_252173.1","hypothetical protein","267","Unknown (This protein may have multiple localization sites)","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3483","NP_252173.1","hypothetical protein","267","Unknown (This protein may have multiple localization sites)","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3483","NP_252173.1","hypothetical protein","267","Outer Membrane Vesicle","Class 1","Secondary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3484","NP_252174.1","Tse3","409","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3484","NP_252174.1","Tse3","409","Extracellular","Class 1","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3484","NP_252174.1","Tse3","409","Host Associated","Class 1","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3485","NP_252175.1","Tsi3","146","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3486","NP_252176.1","VgrG4b","809","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3487","NP_252177.1","Tle5","1100","Periplasmic","Class 1","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3487","NP_252177.1","Tle5","1100","Periplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3487","NP_252177.1","Tle5","1100","Host Associated","Class 1","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3488","NP_252178","Tli5","377","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3489","NP_252179.1","conserved hypothetical protein","195","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3490","NP_252180.1","probable ferredoxin","189","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3491","NP_252181.1","probable ferredoxin","775","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3492","NP_252182.1","conserved hypothetical protein","345","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3493","NP_252183.1","conserved hypothetical protein","215","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3494","NP_252184.1","conserved hypothetical protein","241","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3495","NP_252185.1","endonuclease III","213","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3496","NP_252186.1","hypothetical protein","60","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3497","NP_252187.1","hypothetical protein","407","Outer Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3498","NP_252188.1","probable oxidoreductase","319","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3499","NP_252189.1","hypothetical protein","145","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3500","NP_252190.1","conserved hypothetical protein","340","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3501","NP_252191.1","hypothetical protein","73","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3502","NP_252192.1","hypothetical protein","106","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3503","NP_252193","hypothetical protein","212","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3503","NP_252193","hypothetical protein","212","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3504","NP_252194.1","probable aldehyde dehydrogenase","495","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3505","NP_252195.1","hypothetical protein","268","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3506","NP_252196.1","probable decarboxylase","561","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3507","NP_252197.1","probable short-chain dehydrogenase","266","Cytoplasmic","Class 2","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3507","NP_252197.1","probable short-chain dehydrogenase","266","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3508","NP_252198.1","probable transcriptional regulator","278","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3509","NP_252199.1","probable hydrolase","290","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3510","NP_252200.1","hypothetical protein","177","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3511","NP_252201.1","probable short-chain dehydrogenase","254","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3512","NP_252202.1","probable permease of ABC transporter","259","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3513","NP_252203.1","hypothetical protein","336","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3514","NP_252204.1","probable ATP-binding component of ABC transporter","284","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3515","NP_252205.1","hypothetical protein","358","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3516","NP_252206.1","probable lyase","484","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3517","NP_252207.1","probable lyase","478","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3518","NP_252208.1","hypothetical protein","329","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3519","NP_252209.1","hypothetical protein","346","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3520","NP_252210.1","hypothetical protein","65","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3521","NP_252211.1","OpmE","492","Outer Membrane","Class 2","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3521","NP_252211.1","OpmE","492","Outer Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3522","NP_252212.1","MexQ","1054","Cytoplasmic Membrane","Class 2","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3522","NP_252212.1","MexQ","1054","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3523","NP_252213.1","MexP","386","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3524","NP_252214.1","lactoylglutathione lyase","129","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3525","NP_252215.1","argininosuccinate synthase","406","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3526","NP_252216.1","MotY","322","Outer Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3527","NP_252217.1","dihydroorotase","349","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3528","NP_252218.1","ribonuclease T","225","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3529","NP_252219.1","alkylhydroperoxide reductase C","201","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3529","NP_252219.1","alkylhydroperoxide reductase C","201","Periplasmic","Class 1","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3530","NP_252220.1","bacterioferritin-associated ferredoxin Bfd","74","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3531","NP_252221.1","bacterioferritin","159","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3531","NP_252221.1","bacterioferritin","159","Outer Membrane Vesicle","Class 1","Secondary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3532","NP_252222.1","hypothetical protein","384","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3533","NP_252223.1","GrxD","109","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3534","NP_252224.1","probable oxidoreductase","703","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3535","NP_252225.1","probable serine protease","996","Outer Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3536","NP_252226.1","hypothetical protein","156","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3537","NP_252227.1","ornithine carbamoyltransferase, anabolic","306","Cytoplasmic","Class 1","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3537","NP_252227.1","ornithine carbamoyltransferase, anabolic","306","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3538","NP_252228.1","probable ATP-binding component of ABC transporter","361","Cytoplasmic Membrane","Class 2","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3538","NP_252228.1","probable ATP-binding component of ABC transporter","361","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3539","NP_252229.1","conserved hypothetical protein","260","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3540","NP_252230.1","GDP-mannose 6-dehydrogenase AlgD","437","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3540","NP_252230.1","GDP-mannose 6-dehydrogenase AlgD","437","Periplasmic","Class 1","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3541","NP_252231.1","alginate biosynthesis protein Alg8","495","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3542","NP_252232.1","alginate biosynthesis protein Alg44","390","Periplasmic","Class 1","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3542","NP_252232.1","alginate biosynthesis protein Alg44","390","Periplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3543","NP_252233.1","alginate biosynthetic protein AlgK precursor","476","Periplasmic","Class 1","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3543","NP_252233.1","alginate biosynthetic protein AlgK precursor","476","Periplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3544","NP_252234.1","Alginate production outer membrane protein AlgE precursor","491","Outer Membrane","Class 1","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3544","NP_252234.1","Alginate production outer membrane protein AlgE precursor","491","Outer Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3545","NP_252235.1","alginate-c5-mannuronan-epimerase AlgG","544","Periplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3546","NP_252236.1","alginate biosynthesis protein AlgX","475","Periplasmic","Class 1","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3546","NP_252236.1","alginate biosynthesis protein AlgX","475","Periplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3547","NP_252237.1","poly(beta-d-mannuronate) lyase precursor AlgL","368","Periplasmic","Class 1","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3547","NP_252237.1","poly(beta-d-mannuronate) lyase precursor AlgL","368","Periplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3548","NP_252238.1","alginate o-acetyltransferase AlgI","521","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3549","NP_252239.1","alginate o-acetyltransferase AlgJ","392","Cytoplasmic Membrane","Class 1","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3549","NP_252239.1","alginate o-acetyltransferase AlgJ","392","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3549","NP_252239.1","alginate o-acetyltransferase AlgJ","392","Periplasmic","Class 1","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3550","NP_252240.1","alginate o-acetyltransferase AlgF","217","Periplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3551","NP_252241.1","phosphomannose isomerase / guanosine 5'-diphospho-D-mannose pyrophosphorylase","482","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3552","NP_252242.1","ArnB","383","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3553","NP_252243.1","ArnC","340","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3553","NP_252243.1","ArnC","340","Outer Membrane Vesicle","Class 1","Secondary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3554","NP_252244.1","ArnA","663","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3554","NP_252244.1","ArnA","663","Outer Membrane Vesicle","Class 1","Secondary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3555","NP_252245.1","ArnD","296","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3556","NP_252246.1","inner membrane L-Ara4N transferase ArnT","550","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3556","NP_252246.1","inner membrane L-Ara4N transferase ArnT","550","Outer Membrane Vesicle","Class 1","Secondary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3557","NP_252247.1","ArnE","116","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3558","NP_252248.1","ArnF","138","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3559","NP_252249.1","probable nucleotide sugar dehydrogenase","465","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3560","NP_252250.1","phosphotransferase system transporter fructose-specific IIBC component, FruA","586","Cytoplasmic Membrane","Class 2","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3560","NP_252250.1","phosphotransferase system transporter fructose-specific IIBC component, FruA","586","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3561","NP_252251.1","1-phosphofructokinase","315","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3562","NP_252252.1","phosphotransferase system transporter enzyme I, FruI","957","Cytoplasmic","Class 2","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3562","NP_252252.1","phosphotransferase system transporter enzyme I, FruI","957","Unknown (This protein may have multiple localization sites)","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3562","NP_252252.1","phosphotransferase system transporter enzyme I, FruI","957","Unknown (This protein may have multiple localization sites)","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3563","NP_252253.1","fructose transport system repressor FruR","330","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3564","NP_252254.1","conserved hypothetical protein","226","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3565","NP_252255.1","probable transcriptional regulator","307","Cytoplasmic","Class 2","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3565","NP_252255.1","probable transcriptional regulator","307","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3566","NP_252256.1","conserved hypothetical protein","98","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3567","NP_252257.1","probable oxidoreductase","338","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3568","NP_252258.1","probable acetyl-coa synthetase","629","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3569","NP_252259.1","3-hydroxyisobutyrate dehydrogenase","299","Cytoplasmic","Class 1","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3569","NP_252259.1","3-hydroxyisobutyrate dehydrogenase","299","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3570","NP_252260.1","methylmalonate-semialdehyde dehydrogenase","498","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3571","NP_252261.1","transcriptional regulator MmsR","308","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3572","NP_252262.1","hypothetical protein","59","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3573","NP_252263.1","probable major facilitator superfamily (MFS) transporter","393","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3574","NP_252264.1","NalD","213","Cytoplasmic","Class 1","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3574","NP_252264.1","NalD","213","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3575","NP_252265.1","hypothetical protein","177","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3576","NP_252266.1","hypothetical protein","141","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3577","NP_252267.1","hypothetical protein","38","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3578","NP_252268.1","conserved hypothetical protein","262","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3579","NP_252269.1","probable carbohydrate kinase","495","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3580","NP_252270.1","conserved hypothetical protein","157","Cytoplasmic","Class 1","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3580","NP_252270.1","conserved hypothetical protein","157","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3581","NP_252271.1","glycerol uptake facilitator protein","280","Cytoplasmic Membrane","Class 1","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3581","NP_252271.1","glycerol uptake facilitator protein","280","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3582","NP_252272.1","glycerol kinase","506","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3583","NP_252273.1","glycerol-3-phosphate regulon repressor","252","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3584","NP_252274.1","glycerol-3-phosphate dehydrogenase","513","Cytoplasmic","Class 1","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3584","NP_252274.1","glycerol-3-phosphate dehydrogenase","513","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3585","NP_252275.1","membrane protein GlpM","110","Cytoplasmic Membrane","Class 1","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3585","NP_252275.1","membrane protein GlpM","110","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3586","NP_252276.1","probable hydrolase","329","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3587","NP_252277.1","transcriptional regulator MetR","307","Cytoplasmic","Class 2","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3587","NP_252277.1","transcriptional regulator MetR","307","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3588","NP_252278.1","probable porin","417","Outer Membrane","Class 2","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3588","NP_252278.1","probable porin","417","Outer Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3589","NP_252279.1","probable acyl-CoA thiolase","402","Cytoplasmic","Class 2","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3589","NP_252279.1","probable acyl-CoA thiolase","402","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3590","NP_252280.1","probable hydroxyacyl-CoA dehydrogenase","511","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3591","NP_252281.1","probable enoyl-CoA hydratase/isomerase","266","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA3592","NP_252282.1","conserved hypothetical protein","396","Cytoplasmic","Class 2","Primary"
